iteration,rss
0,79447.1437988
1,71435.2077787
2,64264.5304096
3,57846.7784979
4,52102.893944
5,46962.119846
6,42361.1288638
7,38243.2431061
8,34557.7359297
9,31259.2070516
10,28307.0232743
11,25664.8179359
12,23300.0429191
13,21183.5676986
14,19289.3204903
15,17593.9670795
16,16076.6233729
17,14718.5981324
18,13503.162723
19,12415.3450373
20,11441.7450571
21,10570.3697829
22,9790.4854948
23,9092.48552683
24,8467.77192463
25,7908.64952969
26,7408.2311846
27,6960.35289197
28,6559.49788171
29,6200.72865139
30,5879.62614239
31,5592.2353027
32,5335.01636565
33,5104.80124441
34,4898.75450516
35,4714.33843814
36,4549.28179623
37,4401.55181604
38,4269.32917687
39,4150.98558889
40,4045.06373475
41,3950.25931718
42,3865.40499175
43,3789.45598662
44,3721.47723229
45,3660.63184269
46,3606.17080584
47,3557.42375693
48,3513.79072027
49,3474.73471837
50,3439.77515703
51,3408.48190505
52,3380.46999549
53,3355.39488347
54,3332.94820171
55,3312.85396188
56,3294.86515477
57,3278.76070744
58,3264.34275987
59,3251.43422761
60,3239.87662027
61,3229.52808916
62,3220.26167987
63,3211.96376837
64,3204.53266127
65,3197.87734314
66,3191.91635527
67,3186.5767922
68,3181.79340366
69,3177.50779072
70,3173.66768641
71,3170.22631187
72,3167.14180006
73,3164.37668005
74,3161.89741538
75,3159.67399099
76,3157.6795434
77,3155.89002987
78,3154.28393214
79,3152.84199142
80,3151.5469711
81,3150.38344445
82,3149.33760456
83,3148.39709425
84,3147.55085388
85,3146.78898507
86,3146.10262879
87,3145.48385622
88,3144.92557106
89,3144.42142216
90,3143.96572522
91,3143.55339281
92,3143.17987169
93,3142.84108671
94,3142.53339062
95,3142.25351913
96,3141.99855071
97,3141.76587059
98,3141.55313857
99,3141.35826014
100,3141.17936075
101,3141.01476266
102,3140.8629643
103,3140.72262177
104,3140.59253229
105,3140.47161934
106,3140.35891948
107,3140.2535704
108,3140.15480034
109,3140.06191859
110,3139.97430695
111,3139.89141214
112,3139.81273898
113,3139.73784425
114,3139.66633133
115,3139.59784518
116,3139.53206809
117,3139.46871569
118,3139.40753346
119,3139.34829362
120,3139.29079231
121,3139.23484705
122,3139.18029455
123,3139.12698865
124,3139.07479854
125,3139.02360716
126,3138.9733097
127,3138.92381241
128,3138.87503133
129,3138.82689137
130,3138.77932528
131,3138.73227289
132,3138.68568034
133,3138.63949945
134,3138.59368707
135,3138.54820458
136,3138.50301744
137,3138.45809473
138,3138.41340875
139,3138.36893474
140,3138.32465053
141,3138.28053627
142,3138.2365742
143,3138.19274843
144,3138.14904473
145,3138.10545037
146,3138.06195395
147,3138.01854528
148,3137.97521522
149,3137.93195561
150,3137.88875914
151,3137.84561925
152,3137.8025301
153,3137.75948644
154,3137.71648359
155,3137.67351733
156,3137.63058392
157,3137.58767998
158,3137.54480252
159,3137.50194883
160,3137.45911651
161,3137.41630339
162,3137.37350755
163,3137.33072725
164,3137.28796096
165,3137.24520727
166,3137.20246496
167,3137.15973292
168,3137.11701015
169,3137.07429577
170,3137.03158897
171,3136.98888905
172,3136.94619537
173,3136.90350737
174,3136.86082452
175,3136.81814638
176,3136.77547253
177,3136.73280261
178,3136.69013629
179,3136.64747328
180,3136.60481331
181,3136.56215616
182,3136.51950161
183,3136.47684948
184,3136.43419958
185,3136.39155179
186,3136.34890595
187,3136.30626195
188,3136.26361968
189,3136.22097905
190,3136.17833997
191,3136.13570235
192,3136.09306614
193,3136.05043127
194,3136.00779768
195,3135.96516532
196,3135.92253416
197,3135.87990414
198,3135.83727524
199,3135.79464742
200,3135.75202066
201,3135.70939492
202,3135.66677019
203,3135.62414645
204,3135.58152367
205,3135.53890184
206,3135.49628095
207,3135.45366098
208,3135.41104192
209,3135.36842376
210,3135.32580649
211,3135.2831901
212,3135.24057459
213,3135.19795994
214,3135.15534616
215,3135.11273324
216,3135.07012116
217,3135.02750994
218,3134.98489955
219,3134.94229001
220,3134.89968131
221,3134.85707344
222,3134.8144664
223,3134.77186018
224,3134.7292548
225,3134.68665024
226,3134.64404651
227,3134.6014436
228,3134.55884151
229,3134.51624024
230,3134.47363979
231,3134.43104016
232,3134.38844134
233,3134.34584334
234,3134.30324616
235,3134.26064979
236,3134.21805424
237,3134.1754595
238,3134.13286557
239,3134.09027246
240,3134.04768016
241,3134.00508868
242,3133.962498
243,3133.91990814
244,3133.87731909
245,3133.83473086
246,3133.79214343
247,3133.74955682
248,3133.70697101
249,3133.66438602
250,3133.62180184
251,3133.57921847
252,3133.53663591
253,3133.49405416
